Time (s),Force (N),Distance (mm)
11.1,0.42,5250.7
11.11,0.41,5256.7
11.12,0.29,5263.0
11.13,0.33,5269.4
11.14,0.31,5275.7
11.15,0.32,5281.9
11.16,0.27,5287.9
11.17,0.25,5294.4
11.18,0.29,5300.9
11.19,0.34,5307.4
11.2,0.36,5313.5
11.21,0.34,5319.7
11.22,0.35,5326.4
11.23,0.45,5332.9
11.24,0.45,5339.4
11.25,0.49,5345.4
11.26,0.39,5351.9
11.27,0.47,5358.3
11.28,0.46,5364.8
11.29,0.5,5371.0
11.3,0.42,5377.0
11.31,0.37,5383.5
11.32,0.45,5389.9
11.33,0.43,5396.4
11.34,0.48,5402.4
11.35,0.36,5408.6
11.36,0.41,5415.1
11.37,0.44,5421.4
11.38,0.46,5427.7
11.39,0.44,5433.6
11.4,0.34,5439.7
11.41,0.36,5446.2
11.42,0.38,5452.5
11.43,0.4,5458.8
11.44,0.36,5464.8
11.45,0.3,5471.1
11.46,0.35,5477.6
11.47,0.36,5483.9
11.48,0.38,5490.1
11.49,0.32,5496.2
11.5,0.32,5502.7
11.51,0.41,5509.0
11.52,0.39,5515.5
11.53,0.44,5521.5
11.54,0.33,5527.7
11.55,0.41,5534.2
11.56,0.42,5540.5
11.57,0.41,5546.7
11.58,0.38,5552.5
11.59,0.27,5558.7
11.6,0.35,5565.1
11.61,0.32,5571.3
11.62,0.36,5577.4
11.63,0.29,5583.3
11.64,0.25,5589.7
11.65,0.32,5595.9
11.66,0.32,5602.3
11.67,0.37,5608.4
11.68,0.3,5614.3
11.69,0.25,5620.5
11.7,0.32,5627.0
11.71,0.37,5633.2
11.72,0.35,5639.4
11.73,0.33,5645.6
11.74,0.36,5652.0
11.75,0.42,5658.4
11.76,0.43,5664.6
11.77,0.41,5670.6
11.78,0.33,5676.8
11.79,0.41,5683.2
11.8,0.4,5689.4
11.81,0.45,5695.5
11.82,0.35,5701.5
11.83,0.36,5707.8
11.84,0.42,5714.0
11.85,0.43,5720.1
11.86,0.44,5726.1
11.87,0.33,5732.1
11.88,0.35,5738.5
11.89,0.37,5744.7
11.9,0.37,5750.9
11.91,0.37,5756.9
11.92,0.27,5763.0
11.93,0.33,5769.5
11.94,0.35,5775.7
11.95,0.39,5781.9
11.96,0.37,5787.9
11.97,0.31,5794.3
11.98,0.42,5800.5
11.99,0.39,5806.8
12.0,0.45,5812.9
12.01,0.37,5818.8
12.02,0.34,5825.1
12.03,0.4,5831.4
12.04,0.36,5837.5
12.05,0.4,5843.5
12.06,0.3,5849.4
12.07,0.27,5855.6
12.08,0.33,5861.8
12.09,0.29,5867.9
12.1,0.3,5873.6
12.11,0.22,5879.5
12.12,0.24,5885.9
12.13,0.32,5892.0
12.14,0.32,5898.3
12.15,0.34,5904.1
12.16,0.26,5910.3
12.17,0.32,5916.6
12.18,0.35,5922.9
12.19,0.37,5929.0
12.2,0.35,5934.9
12.21,0.29,5941.1
12.22,0.37,5947.5
12.23,0.38,5953.7
12.24,0.44,5959.7
12.25,0.37,5965.7
12.26,0.35,5972.0
12.27,0.43,5978.2
12.28,0.44,5984.4
12.29,0.49,5990.4
12.3,0.39,5996.3
12.31,0.39,6002.7
12.32,0.44,6008.8
12.33,0.43,6015.0
12.34,0.42,6020.8
12.35,0.32,6026.8
12.36,0.3,6033.1
12.37,0.37,6039.3
12.38,0.37,6045.5
12.39,0.41,6051.4
12.4,0.32,6057.5
12.41,0.38,6063.9
12.42,0.44,6070.0
12.43,0.45,6076.1
12.44,0.47,6082.0
12.45,0.34,6088.2
12.46,0.42,6094.5
12.47,0.45,6100.6
12.48,0.45,6106.8
12.49,0.45,6112.5
12.5,0.32,6118.6
12.51,0.39,6124.8
12.52,0.38,6130.9
12.53,0.37,6136.7
12.54,0.31,6142.4
12.55,0.22,6148.3
12.56,0.25,6154.4
12.57,0.27,6160.6
12.58,0.26,6166.4
12.59,0.23,6172.1
12.6,0.2,6178.1
12.61,0.22,6184.3
12.62,0.27,6190.5
12.63,0.28,6196.6
12.64,0.26,6202.5
12.65,0.22,6208.8
12.66,0.33,6215.1
12.67,0.36,6221.4
12.68,0.41,6227.4
12.69,0.37,6233.4
12.7,0.38,6239.9
12.71,0.47,6246.2
12.72,0.47,6252.3
12.73,0.49,6258.2
12.74,0.38,6264.2
12.75,0.45,6270.4
12.76,0.47,6276.4
12.77,0.47,6282.5
12.78,0.44,6288.2
12.79,0.31,6294.2
12.8,0.35,6300.3
12.81,0.37,6306.4
12.82,0.39,6312.4
12.83,0.35,6318.2
12.84,0.27,6324.2
12.85,0.34,6330.3
12.86,0.34,6336.6
12.87,0.39,6342.5
12.88,0.34,6348.3
12.89,0.27,6354.4
12.9,0.34,6360.6
12.91,0.36,6366.8
12.92,0.41,6372.8
12.93,0.35,6378.6
12.94,0.32,6384.8
12.95,0.4,6390.8
12.96,0.39,6397.0
12.97,0.42,6402.9
12.98,0.35,6408.5
12.99,0.27,6414.6
13.0,0.36,6420.8
13.01,0.35,6426.8
13.02,0.35,6432.5
13.03,0.27,6438.2
13.04,0.21,6444.2
13.05,0.27,6450.2
13.06,0.26,6456.2
13.07,0.28,6462.1
13.08,0.22,6467.7
13.09,0.21,6473.8
13.1,0.29,6480.0
13.11,0.32,6486.1
13.12,0.35,6491.9
13.13,0.28,6497.7
